run,carrier,family,n_samples,raw_rate,retention
gitleaks/default,dotenv,char_format,270,0.0000,0.0000
gitleaks/default,dotenv,contextual,540,0.7778,0.7778
gitleaks/default,dotenv,control,270,0.9926,1.0000
gitleaks/default,dotenv,encoding,1890,0.5323,0.5374
gitleaks/default,dotenv,multi_encoding,810,0.4432,0.4485
gitleaks/default,python,char_format,540,0.0000,0.0000
gitleaks/default,python,composition,540,0.0130,0.0130
gitleaks/default,python,contextual,540,0.7778,0.7778
gitleaks/default,python,control,270,0.9815,1.0000
gitleaks/default,python,encoding,1890,0.5328,0.5463
gitleaks/default,python,indirection,540,0.3278,0.3376
gitleaks/default,python,multi_encoding,810,0.4543,0.4679
gitleaks/default,python,splitting,1350,0.0474,0.0482
gitleaks/default,yaml,char_format,270,0.0000,0.0000
gitleaks/default,yaml,contextual,540,0.7778,0.7778
gitleaks/default,yaml,control,270,0.9926,1.0000
gitleaks/default,yaml,encoding,1890,0.5275,0.5325
gitleaks/default,yaml,multi_encoding,810,0.4519,0.4570
gitleaks/decode,dotenv,char_format,270,0.0000,0.0000
gitleaks/decode,dotenv,contextual,540,0.7778,0.7778
gitleaks/decode,dotenv,control,270,0.9926,1.0000
gitleaks/decode,dotenv,encoding,1890,0.7032,0.7098
gitleaks/decode,dotenv,multi_encoding,810,0.9914,0.9914
gitleaks/decode,python,char_format,540,0.0000,0.0000
gitleaks/decode,python,composition,540,0.0222,0.0222
gitleaks/decode,python,contextual,540,0.7778,0.7778
gitleaks/decode,python,control,270,0.9815,1.0000
gitleaks/decode,python,encoding,1890,0.7079,0.7249
gitleaks/decode,python,indirection,540,0.3278,0.3376
gitleaks/decode,python,multi_encoding,810,0.9864,0.9864
gitleaks/decode,python,splitting,1350,0.0474,0.0482
gitleaks/decode,yaml,char_format,270,0.0000,0.0000
gitleaks/decode,yaml,contextual,540,0.7778,0.7778
gitleaks/decode,yaml,control,270,0.9926,1.0000
gitleaks/decode,yaml,encoding,1890,0.7032,0.7095
gitleaks/decode,yaml,multi_encoding,810,0.9889,0.9889
betterleaks/default,dotenv,char_format,270,0.0000,0.0000
betterleaks/default,dotenv,contextual,540,0.7778,0.7778
betterleaks/default,dotenv,control,270,0.9926,1.0000
betterleaks/default,dotenv,encoding,1890,0.5286,0.5337
betterleaks/default,dotenv,multi_encoding,810,0.4358,0.4411
betterleaks/default,python,char_format,540,0.0000,0.0000
betterleaks/default,python,composition,540,0.0130,0.0130
betterleaks/default,python,contextual,540,0.7778,0.7778
betterleaks/default,python,control,270,0.9815,1.0000
betterleaks/default,python,encoding,1890,0.5280,0.5412
betterleaks/default,python,indirection,540,0.3278,0.3376
betterleaks/default,python,multi_encoding,810,0.4531,0.4666
betterleaks/default,python,splitting,1350,0.0474,0.0482
betterleaks/default,yaml,char_format,270,0.0000,0.0000
betterleaks/default,yaml,contextual,540,0.7778,0.7778
betterleaks/default,yaml,control,270,0.9926,1.0000
betterleaks/default,yaml,encoding,1890,0.5265,0.5314
betterleaks/default,yaml,multi_encoding,810,0.4506,0.4557
betterleaks/decode,dotenv,char_format,270,0.0000,0.0000
betterleaks/decode,dotenv,contextual,540,0.7778,0.7778
betterleaks/decode,dotenv,control,270,0.9926,1.0000
betterleaks/decode,dotenv,encoding,1890,0.6995,0.7061
betterleaks/decode,dotenv,multi_encoding,810,0.9914,0.9914
betterleaks/decode,python,char_format,540,0.0000,0.0000
betterleaks/decode,python,composition,540,0.0222,0.0222
betterleaks/decode,python,contextual,540,0.7778,0.7778
betterleaks/decode,python,control,270,0.9815,1.0000
betterleaks/decode,python,encoding,1890,0.7026,0.7192
betterleaks/decode,python,indirection,540,0.3278,0.3376
betterleaks/decode,python,multi_encoding,810,0.9864,0.9864
betterleaks/decode,python,splitting,1350,0.0474,0.0482
betterleaks/decode,yaml,char_format,270,0.0000,0.0000
betterleaks/decode,yaml,contextual,540,0.7778,0.7778
betterleaks/decode,yaml,control,270,0.9926,1.0000
betterleaks/decode,yaml,encoding,1890,0.7021,0.7085
betterleaks/decode,yaml,multi_encoding,810,0.9889,0.9889
trufflehog/default,dotenv,char_format,270,0.0000,0.0000
trufflehog/default,dotenv,contextual,540,0.4444,1.0000
trufflehog/default,dotenv,control,270,0.4444,1.0000
trufflehog/default,dotenv,encoding,1890,0.1593,0.3214
trufflehog/default,dotenv,multi_encoding,810,0.2963,0.6667
trufflehog/default,python,char_format,540,0.0000,0.0000
trufflehog/default,python,composition,540,0.0019,0.0042
trufflehog/default,python,contextual,540,0.4407,0.9917
trufflehog/default,python,control,270,0.4444,1.0000
trufflehog/default,python,encoding,1890,0.1265,0.2845
trufflehog/default,python,indirection,540,0.0000,0.0000
trufflehog/default,python,multi_encoding,810,0.2938,0.6611
trufflehog/default,python,splitting,1350,0.0148,0.0333
trufflehog/default,yaml,char_format,270,0.0000,0.0000
trufflehog/default,yaml,contextual,540,0.4426,0.9958
trufflehog/default,yaml,control,270,0.4407,1.0000
trufflehog/default,yaml,encoding,1890,0.1582,0.3227
trufflehog/default,yaml,multi_encoding,810,0.2963,0.6724
detect-secrets/default,dotenv,char_format,270,0.4407,0.4407
detect-secrets/default,dotenv,contextual,540,0.9167,0.9309
detect-secrets/default,dotenv,control,270,0.9852,1.0000
detect-secrets/default,dotenv,encoding,1890,0.7386,0.7525
detect-secrets/default,dotenv,multi_encoding,810,0.8877,0.8877
detect-secrets/default,python,char_format,540,0.2167,0.2167
detect-secrets/default,python,composition,540,0.0000,0.0000
detect-secrets/default,python,contextual,540,0.9426,0.9571
detect-secrets/default,python,control,270,0.9852,1.0000
detect-secrets/default,python,encoding,1890,0.7767,0.7904
detect-secrets/default,python,indirection,540,0.3796,0.3868
detect-secrets/default,python,multi_encoding,810,0.8877,0.8877
detect-secrets/default,python,splitting,1350,0.1630,0.1635
detect-secrets/default,yaml,char_format,270,0.4444,0.4444
detect-secrets/default,yaml,contextual,540,0.9222,0.9463
detect-secrets/default,yaml,control,270,0.9704,1.0000
detect-secrets/default,yaml,encoding,1890,0.7704,0.7937
detect-secrets/default,yaml,multi_encoding,810,0.8889,0.8889
