run,transformation_id,family,n_samples,raw_rate,retention,ci95_lo,ci95_hi
gitleaks/default,T0.0,control,810,0.9889,1.0000,1.0000,1.0000
gitleaks/default,T1.1,encoding,810,0.7691,0.7741,0.7691,0.7778
gitleaks/default,T1.2,encoding,810,0.6543,0.6580,0.6506,0.6630
gitleaks/default,T1.3,encoding,810,0.0086,0.0088,0.0026,0.0155
gitleaks/default,T1.4,encoding,810,0.0704,0.0715,0.0549,0.0886
gitleaks/default,T1.5,encoding,810,0.9123,0.9190,0.9069,0.9299
gitleaks/default,T1.6,encoding,810,0.6494,0.6592,0.6491,0.6642
gitleaks/default,T1.7,encoding,810,0.6519,0.6568,0.6481,0.6629
gitleaks/default,T2.1,multi_encoding,810,0.6506,0.6593,0.6492,0.6642
gitleaks/default,T2.2,multi_encoding,810,0.6506,0.6556,0.6469,0.6617
gitleaks/default,T2.3,multi_encoding,810,0.0481,0.0489,0.0349,0.0634
gitleaks/default,T3.1,splitting,270,0.1593,0.1622,0.1237,0.2048
gitleaks/default,T3.2,splitting,270,0.0333,0.0333,0.0148,0.0519
gitleaks/default,T3.3,splitting,270,0.0000,0.0000,0.0000,0.0000
gitleaks/default,T3.4,splitting,270,0.0296,0.0296,0.0111,0.0481
gitleaks/default,T3.5,splitting,270,0.0148,0.0148,0.0037,0.0296
gitleaks/default,T4.3,char_format,270,0.0000,0.0000,0.0000,0.0000
gitleaks/default,T4.5,char_format,810,0.0000,0.0000,0.0000,0.0000
gitleaks/default,T5.1,indirection,270,0.6556,0.6630,0.6503,0.6667
gitleaks/default,T5.2,indirection,270,0.0000,0.0000,0.0000,0.0000
gitleaks/default,T6.1,contextual,810,0.7778,0.7778,0.7778,0.7778
gitleaks/default,T6.4,contextual,810,0.7778,0.7778,0.7778,0.7778
gitleaks/default,T7.1,composition,270,0.0259,0.0259,0.0111,0.0444
gitleaks/default,T7.2,composition,270,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T0.0,control,810,0.9889,1.0000,1.0000,1.0000
gitleaks/decode,T1.1,encoding,810,0.9901,0.9901,0.9827,0.9963
gitleaks/decode,T1.2,encoding,810,0.6543,0.6580,0.6506,0.6642
gitleaks/decode,T1.3,encoding,810,0.0086,0.0088,0.0026,0.0154
gitleaks/decode,T1.4,encoding,810,0.9864,0.9961,0.9862,1.0000
gitleaks/decode,T1.5,encoding,810,0.9926,0.9987,0.9914,1.0000
gitleaks/decode,T1.6,encoding,810,0.6494,0.6592,0.6479,0.6642
gitleaks/decode,T1.7,encoding,810,0.6519,0.6568,0.6493,0.6630
gitleaks/decode,T2.1,multi_encoding,810,0.9914,0.9914,0.9852,0.9963
gitleaks/decode,T2.2,multi_encoding,810,0.9864,0.9864,0.9790,0.9938
gitleaks/decode,T2.3,multi_encoding,810,0.9889,0.9889,0.9815,0.9951
gitleaks/decode,T3.1,splitting,270,0.1593,0.1622,0.1204,0.2074
gitleaks/decode,T3.2,splitting,270,0.0333,0.0333,0.0148,0.0519
gitleaks/decode,T3.3,splitting,270,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T3.4,splitting,270,0.0296,0.0296,0.0111,0.0481
gitleaks/decode,T3.5,splitting,270,0.0148,0.0148,0.0037,0.0296
gitleaks/decode,T4.3,char_format,270,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T4.5,char_format,810,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T5.1,indirection,270,0.6556,0.6630,0.6489,0.6667
gitleaks/decode,T5.2,indirection,270,0.0000,0.0000,0.0000,0.0000
gitleaks/decode,T6.1,contextual,810,0.7778,0.7778,0.7778,0.7778
gitleaks/decode,T6.4,contextual,810,0.7778,0.7778,0.7778,0.7778
gitleaks/decode,T7.1,composition,270,0.0444,0.0444,0.0222,0.0704
gitleaks/decode,T7.2,composition,270,0.0000,0.0000,0.0000,0.0000
betterleaks/default,T0.0,control,810,0.9889,1.0000,1.0000,1.0000
betterleaks/default,T1.1,encoding,810,0.7691,0.7741,0.7679,0.7778
betterleaks/default,T1.2,encoding,810,0.6506,0.6556,0.6469,0.6617
betterleaks/default,T1.3,encoding,810,0.0086,0.0088,0.0037,0.0157
betterleaks/default,T1.4,encoding,810,0.0704,0.0715,0.0550,0.0883
betterleaks/default,T1.5,encoding,810,0.9123,0.9190,0.9060,0.9309
betterleaks/default,T1.6,encoding,810,0.6494,0.6592,0.6480,0.6642
betterleaks/default,T1.7,encoding,810,0.6333,0.6415,0.6287,0.6530
betterleaks/default,T2.1,multi_encoding,810,0.6420,0.6517,0.6393,0.6593
betterleaks/default,T2.2,multi_encoding,810,0.6494,0.6543,0.6444,0.6605
betterleaks/default,T2.3,multi_encoding,810,0.0481,0.0489,0.0351,0.0637
betterleaks/default,T3.1,splitting,270,0.1593,0.1622,0.1204,0.2051
betterleaks/default,T3.2,splitting,270,0.0333,0.0333,0.0148,0.0556
betterleaks/default,T3.3,splitting,270,0.0000,0.0000,0.0000,0.0000
betterleaks/default,T3.4,splitting,270,0.0296,0.0296,0.0111,0.0481
betterleaks/default,T3.5,splitting,270,0.0148,0.0148,0.0037,0.0296
