run,secret_type,family,n_samples,detection_rate,ceiling,ratio_uncapped,retention_capped
gitleaks/default,aws_access_key_id,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/default,aws_access_key_id,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/default,aws_access_key_id,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/default,aws_access_key_id,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/default,aws_access_key_id,encoding,630,0.1429,1.0000,0.1429,0.1429
gitleaks/default,aws_access_key_id,indirection,60,0.0000,1.0000,0.0000,0.0000
gitleaks/default,aws_access_key_id,multi_encoding,270,0.0000,1.0000,0.0000,0.0000
gitleaks/default,aws_access_key_id,splitting,150,0.0000,1.0000,0.0000,0.0000
gitleaks/default,aws_keypair,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/default,aws_keypair,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/default,aws_keypair,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/default,aws_keypair,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/default,aws_keypair,encoding,630,0.7302,1.0000,0.7302,0.7302
gitleaks/default,aws_keypair,indirection,60,0.5000,1.0000,0.5000,0.5000
gitleaks/default,aws_keypair,multi_encoding,270,0.7000,1.0000,0.7000,0.7000
gitleaks/default,aws_keypair,splitting,150,0.0467,1.0000,0.0467,0.0467
gitleaks/default,aws_secret_access_key,char_format,120,0.0000,0.9444,0.0000,0.0000
gitleaks/default,aws_secret_access_key,composition,60,0.0000,0.9444,0.0000,0.0000
gitleaks/default,aws_secret_access_key,contextual,180,0.0000,0.9444,0.0000,0.0000
gitleaks/default,aws_secret_access_key,control,90,0.9444,0.9444,1.0000,1.0000
gitleaks/default,aws_secret_access_key,encoding,630,0.6206,0.9444,0.6571,0.6571
gitleaks/default,aws_secret_access_key,indirection,60,0.4833,0.9444,0.5118,0.5118
gitleaks/default,aws_secret_access_key,multi_encoding,270,0.6778,0.9444,0.7176,0.7176
gitleaks/default,aws_secret_access_key,splitting,150,0.0733,0.9444,0.0776,0.0776
gitleaks/default,generic_hex_token,char_format,120,0.0000,0.9556,0.0000,0.0000
gitleaks/default,generic_hex_token,composition,60,0.0000,0.9556,0.0000,0.0000
gitleaks/default,generic_hex_token,contextual,180,0.0000,0.9556,0.0000,0.0000
gitleaks/default,generic_hex_token,control,90,0.9556,0.9556,1.0000,1.0000
gitleaks/default,generic_hex_token,encoding,630,0.6937,0.9556,0.7259,0.7259
gitleaks/default,generic_hex_token,indirection,60,0.4833,0.9556,0.5058,0.5058
gitleaks/default,generic_hex_token,multi_encoding,270,0.6593,0.9556,0.6899,0.6899
gitleaks/default,generic_hex_token,splitting,150,0.0200,0.9556,0.0209,0.0209
gitleaks/default,github_pat,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/default,github_pat,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/default,github_pat,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/default,github_pat,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/default,github_pat,encoding,630,0.1429,1.0000,0.1429,0.1429
gitleaks/default,github_pat,indirection,60,0.0000,1.0000,0.0000,0.0000
gitleaks/default,github_pat,multi_encoding,270,0.0000,1.0000,0.0000,0.0000
gitleaks/default,github_pat,splitting,150,0.0000,1.0000,0.0000,0.0000
gitleaks/default,google_api_key,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/default,google_api_key,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/default,google_api_key,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/default,google_api_key,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/default,google_api_key,encoding,630,0.7333,1.0000,0.7333,0.7333
gitleaks/default,google_api_key,indirection,60,0.5000,1.0000,0.5000,0.5000
gitleaks/default,google_api_key,multi_encoding,270,0.6519,1.0000,0.6519,0.6519
gitleaks/default,google_api_key,splitting,150,0.0333,1.0000,0.0333,0.0333
gitleaks/default,jwt,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/default,jwt,composition,60,0.1167,1.0000,0.1167,0.1167
gitleaks/default,jwt,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/default,jwt,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/default,jwt,encoding,630,0.2857,1.0000,0.2857,0.2857
gitleaks/default,jwt,indirection,60,0.0000,1.0000,0.0000,0.0000
gitleaks/default,jwt,multi_encoding,270,0.0000,1.0000,0.0000,0.0000
gitleaks/default,jwt,splitting,150,0.0267,1.0000,0.0267,0.0267
gitleaks/default,slack_bot_token,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/default,slack_bot_token,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/default,slack_bot_token,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/default,slack_bot_token,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/default,slack_bot_token,encoding,630,0.7127,1.0000,0.7127,0.7127
gitleaks/default,slack_bot_token,indirection,60,0.5000,1.0000,0.5000,0.5000
gitleaks/default,slack_bot_token,multi_encoding,270,0.6778,1.0000,0.6778,0.6778
gitleaks/default,slack_bot_token,splitting,150,0.1400,1.0000,0.1400,0.1400
gitleaks/default,stripe_secret_key,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/default,stripe_secret_key,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/default,stripe_secret_key,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/default,stripe_secret_key,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/default,stripe_secret_key,encoding,630,0.7159,1.0000,0.7159,0.7159
gitleaks/default,stripe_secret_key,indirection,60,0.4833,1.0000,0.4833,0.4833
gitleaks/default,stripe_secret_key,multi_encoding,270,0.6815,1.0000,0.6815,0.6815
gitleaks/default,stripe_secret_key,splitting,150,0.0867,1.0000,0.0867,0.0867
gitleaks/decode,aws_access_key_id,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_access_key_id,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_access_key_id,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,aws_access_key_id,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,aws_access_key_id,encoding,630,0.4159,1.0000,0.4159,0.4159
gitleaks/decode,aws_access_key_id,indirection,60,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_access_key_id,multi_encoding,270,0.9037,1.0000,0.9037,0.9037
gitleaks/decode,aws_access_key_id,splitting,150,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_keypair,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_keypair,composition,60,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,aws_keypair,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,aws_keypair,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,aws_keypair,encoding,630,0.8429,1.0000,0.8429,0.8429
