run,secret_type,n_control,k_detected,ceiling,covered,covered_at_min_ceiling
gitleaks/default,aws_access_key_id,90,90,1.0000,1,1
gitleaks/default,aws_keypair,90,90,1.0000,1,1
gitleaks/default,aws_secret_access_key,90,85,0.9444,1,1
gitleaks/default,generic_hex_token,90,86,0.9556,1,1
gitleaks/default,github_pat,90,90,1.0000,1,1
gitleaks/default,google_api_key,90,90,1.0000,1,1
gitleaks/default,jwt,90,90,1.0000,1,1
gitleaks/default,slack_bot_token,90,90,1.0000,1,1
gitleaks/default,stripe_secret_key,90,90,1.0000,1,1
gitleaks/decode,aws_access_key_id,90,90,1.0000,1,1
gitleaks/decode,aws_keypair,90,90,1.0000,1,1
gitleaks/decode,aws_secret_access_key,90,85,0.9444,1,1
gitleaks/decode,generic_hex_token,90,86,0.9556,1,1
gitleaks/decode,github_pat,90,90,1.0000,1,1
gitleaks/decode,google_api_key,90,90,1.0000,1,1
gitleaks/decode,jwt,90,90,1.0000,1,1
gitleaks/decode,slack_bot_token,90,90,1.0000,1,1
gitleaks/decode,stripe_secret_key,90,90,1.0000,1,1
betterleaks/default,aws_access_key_id,90,90,1.0000,1,1
betterleaks/default,aws_keypair,90,90,1.0000,1,1
betterleaks/default,aws_secret_access_key,90,85,0.9444,1,1
betterleaks/default,generic_hex_token,90,86,0.9556,1,1
betterleaks/default,github_pat,90,90,1.0000,1,1
betterleaks/default,google_api_key,90,90,1.0000,1,1
betterleaks/default,jwt,90,90,1.0000,1,1
betterleaks/default,slack_bot_token,90,90,1.0000,1,1
betterleaks/default,stripe_secret_key,90,90,1.0000,1,1
betterleaks/decode,aws_access_key_id,90,90,1.0000,1,1
betterleaks/decode,aws_keypair,90,90,1.0000,1,1
betterleaks/decode,aws_secret_access_key,90,85,0.9444,1,1
betterleaks/decode,generic_hex_token,90,86,0.9556,1,1
betterleaks/decode,github_pat,90,90,1.0000,1,1
betterleaks/decode,google_api_key,90,90,1.0000,1,1
betterleaks/decode,jwt,90,90,1.0000,1,1
betterleaks/decode,slack_bot_token,90,90,1.0000,1,1
betterleaks/decode,stripe_secret_key,90,90,1.0000,1,1
trufflehog/default,aws_access_key_id,90,0,0.0000,0,0
trufflehog/default,aws_keypair,90,90,1.0000,1,1
trufflehog/default,aws_secret_access_key,90,0,0.0000,0,0
trufflehog/default,generic_hex_token,90,0,0.0000,0,0
trufflehog/default,github_pat,90,90,1.0000,1,1
trufflehog/default,google_api_key,90,0,0.0000,0,0
trufflehog/default,jwt,90,0,0.0000,0,0
trufflehog/default,slack_bot_token,90,89,0.9889,1,1
trufflehog/default,stripe_secret_key,90,90,1.0000,1,1
detect-secrets/default,aws_access_key_id,90,90,1.0000,1,1
detect-secrets/default,aws_keypair,90,90,1.0000,1,1
detect-secrets/default,aws_secret_access_key,90,90,1.0000,1,1
detect-secrets/default,generic_hex_token,90,90,1.0000,1,1
detect-secrets/default,github_pat,90,90,1.0000,1,1
detect-secrets/default,google_api_key,90,90,1.0000,1,1
detect-secrets/default,jwt,90,90,1.0000,1,1
detect-secrets/default,slack_bot_token,90,74,0.8222,1,1
detect-secrets/default,stripe_secret_key,90,90,1.0000,1,1
