id,secret_type,transformation_id,family,depth,carrier,gitleaks/default,gitleaks/decode,betterleaks/default,betterleaks/decode,trufflehog/default
sample_00001,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00002,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00003,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00004,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00005,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00006,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00007,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00008,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00009,aws_access_key_id,T0.0,control,1,python,1,1,1,1,0
sample_00010,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00011,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00012,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00013,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00014,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00015,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00016,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00017,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00018,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00019,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00020,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00021,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00022,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00023,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00024,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00025,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00026,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00027,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00028,aws_access_key_id,T0.0,control,1,python,1,1,1,1,0
sample_00029,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00030,aws_access_key_id,T0.0,control,1,python,0,0,0,0,0
sample_00031,aws_access_key_id,T0.0,control,1,dotenv,1,1,1,1,0
