run,family,raw,covered_only,retention
gitleaks/default,char_format,0.0000,0.0000,0.0000
gitleaks/default,composition,0.0130,0.0130,0.0130
gitleaks/default,contextual,0.7778,0.7778,0.7778
gitleaks/default,control,0.9889,0.9889,1.0000
gitleaks/default,encoding,0.5309,0.5309,0.5385
gitleaks/default,indirection,0.3278,0.3278,0.3334
gitleaks/default,multi_encoding,0.4498,0.4498,0.4576
gitleaks/default,splitting,0.0474,0.0474,0.0480
gitleaks/decode,char_format,0.0000,0.0000,0.0000
gitleaks/decode,composition,0.0222,0.0222,0.0222
gitleaks/decode,contextual,0.7778,0.7778,0.7778
gitleaks/decode,control,0.9889,0.9889,1.0000
gitleaks/decode,encoding,0.7048,0.7048,0.7145
gitleaks/decode,indirection,0.3278,0.3278,0.3334
gitleaks/decode,multi_encoding,0.9889,0.9889,0.9889
gitleaks/decode,splitting,0.0474,0.0474,0.0480
betterleaks/default,char_format,0.0000,0.0000,0.0000
betterleaks/default,composition,0.0130,0.0130,0.0130
betterleaks/default,contextual,0.7778,0.7778,0.7778
betterleaks/default,control,0.9889,0.9889,1.0000
betterleaks/default,encoding,0.5277,0.5277,0.5352
betterleaks/default,indirection,0.3278,0.3278,0.3334
betterleaks/default,multi_encoding,0.4465,0.4465,0.4543
betterleaks/default,splitting,0.0474,0.0474,0.0480
betterleaks/decode,char_format,0.0000,0.0000,0.0000
betterleaks/decode,composition,0.0222,0.0222,0.0222
betterleaks/decode,contextual,0.7778,0.7778,0.7778
betterleaks/decode,control,0.9889,0.9889,1.0000
betterleaks/decode,encoding,0.7014,0.7014,0.7111
betterleaks/decode,indirection,0.3278,0.3278,0.3334
betterleaks/decode,multi_encoding,0.9889,0.9889,0.9889
betterleaks/decode,splitting,0.0474,0.0474,0.0480
trufflehog/default,char_format,0.0000,0.0000,0.0000
trufflehog/default,composition,0.0019,0.0042,0.0042
trufflehog/default,contextual,0.4426,0.9958,0.9958
trufflehog/default,control,0.4432,0.9972,1.0000
trufflehog/default,encoding,0.1480,0.3087,0.3095
trufflehog/default,indirection,0.0000,0.0000,0.0000
trufflehog/default,multi_encoding,0.2955,0.6648,0.6667
trufflehog/default,splitting,0.0148,0.0333,0.0337
detect-secrets/default,char_format,0.3296,0.3296,0.3296
detect-secrets/default,composition,0.0000,0.0000,0.0000
detect-secrets/default,contextual,0.9272,0.9272,0.9469
detect-secrets/default,control,0.9802,0.9802,1.0000
detect-secrets/default,encoding,0.7619,0.7619,0.7811
detect-secrets/default,indirection,0.3796,0.3796,0.3896
detect-secrets/default,multi_encoding,0.8881,0.8881,0.8881
detect-secrets/default,splitting,0.1630,0.1630,0.1638
