run,family,n_samples,retention,ci95_lo,ci95_hi
gitleaks/default,char_format,1080,0.0000,0.0000,0.0000
gitleaks/default,composition,540,0.0130,0.0056,0.0222
gitleaks/default,contextual,1620,0.7778,0.7778,0.7778
gitleaks/default,control,810,1.0000,1.0000,1.0000
gitleaks/default,encoding,5670,0.5385,0.5326,0.5451
gitleaks/default,indirection,540,0.3334,0.3259,0.3401
gitleaks/default,multi_encoding,2430,0.4576,0.4502,0.4661
gitleaks/default,splitting,1350,0.0480,0.0377,0.0579
gitleaks/decode,char_format,1080,0.0000,0.0000,0.0000
gitleaks/decode,composition,540,0.0222,0.0111,0.0352
gitleaks/decode,contextual,1620,0.7778,0.7778,0.7778
gitleaks/decode,control,810,1.0000,1.0000,1.0000
gitleaks/decode,encoding,5670,0.7145,0.7079,0.7224
gitleaks/decode,indirection,540,0.3334,0.3253,0.3406
gitleaks/decode,multi_encoding,2430,0.9889,0.9848,0.9926
gitleaks/decode,splitting,1350,0.0480,0.0377,0.0587
betterleaks/default,char_format,1080,0.0000,0.0000,0.0000
betterleaks/default,composition,540,0.0130,0.0056,0.0222
betterleaks/default,contextual,1620,0.7778,0.7778,0.7778
betterleaks/default,control,810,1.0000,1.0000,1.0000
betterleaks/default,encoding,5670,0.5352,0.5289,0.5422
betterleaks/default,indirection,540,0.3334,0.3258,0.3406
betterleaks/default,multi_encoding,2430,0.4543,0.4465,0.4630
betterleaks/default,splitting,1350,0.0480,0.0380,0.0589
betterleaks/decode,char_format,1080,0.0000,0.0000,0.0000
betterleaks/decode,composition,540,0.0222,0.0111,0.0352
betterleaks/decode,contextual,1620,0.7778,0.7778,0.7778
betterleaks/decode,control,810,1.0000,1.0000,1.0000
betterleaks/decode,encoding,5670,0.7111,0.7043,0.7191
betterleaks/decode,indirection,540,0.3334,0.3253,0.3402
betterleaks/decode,multi_encoding,2430,0.9889,0.9848,0.9926
betterleaks/decode,splitting,1350,0.0480,0.0375,0.0584
trufflehog/default,char_format,1080,0.0000,0.0000,0.0000
trufflehog/default,composition,540,0.0042,0.0000,0.0128
trufflehog/default,contextual,1620,0.9958,0.9903,1.0000
trufflehog/default,control,810,1.0000,1.0000,1.0000
trufflehog/default,encoding,5670,0.3095,0.3079,0.3116
trufflehog/default,indirection,540,0.0000,0.0000,0.0000
trufflehog/default,multi_encoding,2430,0.6667,0.6630,0.6715
trufflehog/default,splitting,1350,0.0337,0.0216,0.0472
detect-secrets/default,char_format,1080,0.3296,0.3259,0.3324
detect-secrets/default,composition,540,0.0000,0.0000,0.0000
detect-secrets/default,contextual,1620,0.9469,0.9321,0.9543
detect-secrets/default,control,810,1.0000,1.0000,1.0000
detect-secrets/default,encoding,5670,0.7811,0.7712,0.7864
detect-secrets/default,indirection,540,0.3896,0.3792,0.3996
detect-secrets/default,multi_encoding,2430,0.8881,0.8868,0.8889
detect-secrets/default,splitting,1350,0.1638,0.1538,0.1740
