run,variant,value,ci95_lo,ci95_hi
gitleaks/default,unweighted,0.3098,0.3067,0.3129
gitleaks/default,unweighted_excl_contextual,0.2318,0.2282,0.2354
gitleaks/default,sample_weighted,0.4291,0.4255,0.4333
gitleaks/default,sample_weighted_excl_contextual,0.3805,0.3763,0.3852
gitleaks/decode,unweighted,0.4121,0.4093,0.4152
gitleaks/decode,unweighted_excl_contextual,0.3512,0.3478,0.3548
gitleaks/decode,sample_weighted,0.6025,0.5992,0.6064
gitleaks/decode,sample_weighted_excl_contextual,0.5781,0.5742,0.5825
betterleaks/default,unweighted,0.3088,0.3058,0.3122
betterleaks/default,unweighted_excl_contextual,0.2306,0.2272,0.2346
betterleaks/default,sample_weighted,0.4271,0.4232,0.4315
betterleaks/default,sample_weighted_excl_contextual,0.3782,0.3737,0.3832
betterleaks/decode,unweighted,0.4116,0.4087,0.4147
betterleaks/decode,unweighted_excl_contextual,0.3506,0.3472,0.3542
betterleaks/decode,sample_weighted,0.6010,0.5976,0.6049
betterleaks/decode,sample_weighted_excl_contextual,0.5764,0.5725,0.5808
trufflehog/default,unweighted,0.2871,0.2849,0.2898
trufflehog/default,unweighted_excl_contextual,0.1690,0.1665,0.1720
trufflehog/default,sample_weighted,0.3807,0.3787,0.3830
trufflehog/default,sample_weighted_excl_contextual,0.2948,0.2928,0.2974
detect-secrets/default,unweighted,0.4999,0.4956,0.5026
detect-secrets/default,unweighted_excl_contextual,0.4254,0.4221,0.4282
detect-secrets/default,sample_weighted,0.6734,0.6675,0.6762
detect-secrets/default,sample_weighted_excl_contextual,0.6352,0.6300,0.6382
